United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
83,68,,0.68,56.440000000000005
98,68,,0.68,66.64
87,68,,0.68,59.160000000000004
94,68,,0.68,63.92
82,68,,0.68,55.760000000000005
74,68,,0.68,50.32
78,73,FALSE,0.73,56.94
93,73,,0.73,67.89
92,73,,0.73,67.16
91,73,,0.73,66.42999999999999
92,73,,0.73,67.16
88,73,,0.73,64.24
74,73,,0.73,54.019999999999996
78,74,FALSE,0.74,57.72
91,74,,0.74,67.34
96,74,,0.74,71.03999999999999
92,74,,0.74,68.08
100,74,,0.74,74
83,74,,0.74,61.42
76,74,,0.74,56.24
81,72,FALSE,0.72,58.32
95,72,,0.72,68.39999999999999
92,72,,0.72,66.24
91,72,,0.72,65.52
90,72,,0.72,64.8
93,72,,0.72,66.96
82,72,,0.72,59.04
78,69,FALSE,0.69,53.81999999999999
81,69,,0.69,55.88999999999999
95,69,,0.69,65.55
100,69,,0.69,69
94,69,,0.69,64.86
86,69,,0.69,59.339999999999996
78,69,,0.69,53.81999999999999
81,71,FALSE,0.71,57.51
91,71,,0.71,64.61
94,71,,0.71,66.74
91,71,,0.71,64.61
85,71,,0.71,60.349999999999994
89,71,,0.71,63.19
77,71,,0.71,54.669999999999995
80,69,FALSE,0.69,55.199999999999996
91,69,,0.69,62.78999999999999
100,69,,0.69,69
91,69,,0.69,62.78999999999999
90,69,,0.69,62.099999999999994
77,69,,0.69,53.129999999999995
79,69,,0.69,54.51
81,68,FALSE,0.68,55.080000000000005
99,68,,0.68,67.32000000000001
96,68,,0.68,65.28
89,68,,0.68,60.52
86,68,,0.68,58.480000000000004
84,68,,0.68,57.120000000000005
71,68,,0.68,48.28
80,68,FALSE,0.68,54.400000000000006
85,68,,0.68,57.800000000000004
90,68,,0.68,61.2
82,68,,0.68,55.760000000000005
92,68,,0.68,62.56
87,68,,0.68,59.160000000000004
79,68,,0.68,53.720000000000006
87,72,FALSE,0.72,62.64
99,72,,0.72,71.28
88,72,,0.72,63.36
91,72,,0.72,65.52
99,72,,0.72,71.28
79,72,,0.72,56.879999999999995
73,72,,0.72,52.559999999999995
75,65,FALSE,0.65,48.75
