Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
72,17.0,,0.17,12.24
40,17.0,,0.17,6.800000000000001
90,17.0,,0.17,15.3
38,17.0,,0.17,6.460000000000001
91,17.0,,0.17,15.47
47,17.0,False,0.17,7.99
78,17.0,,0.17,13.260000000000002
67,17.0,,0.17,11.39
40,17.0,,0.17,6.800000000000001
86,17.0,,0.17,14.62
36,17.0,,0.17,6.12
84,17.0,,0.17,14.28
73,16.0,False,0.16,11.68
43,16.0,,0.16,6.88
43,16.0,,0.16,6.88
84,16.0,,0.16,13.44
26,16.0,,0.16,4.16
27,16.0,,0.16,4.32
66,16.0,,0.16,10.56
55,15.0,False,0.15,8.25
29,15.0,,0.15,4.35
60,15.0,,0.15,9.0
38,15.0,,0.15,5.7
55,15.0,,0.15,8.25
27,15.0,,0.15,4.05
33,15.0,,0.15,4.95
83,17.0,False,0.17,14.11
30,17.0,,0.17,5.1000000000000005
28,17.0,,0.17,4.760000000000001
59,17.0,,0.17,10.03
52,17.0,,0.17,8.84
28,17.0,,0.17,4.760000000000001
51,17.0,,0.17,8.67
32,13.0,False,0.13,4.16
38,13.0,,0.13,4.94
35,13.0,,0.13,4.55
53,13.0,,0.13,6.890000000000001
49,13.0,,0.13,6.37
23,13.0,,0.13,2.99
26,13.0,,0.13,3.38
40,21.0,False,0.21,8.4
100,21.0,,0.21,21.0
32,21.0,,0.21,6.72
66,21.0,,0.21,13.86
65,21.0,,0.21,13.65
34,21.0,,0.21,7.14
77,21.0,,0.21,16.169999999999998
49,16.0,False,0.16,7.84
39,16.0,,0.16,6.24
78,16.0,,0.16,12.48
37,16.0,,0.16,5.92
68,16.0,,0.16,10.88
30,16.0,,0.16,4.8
43,16.0,,0.16,6.88
75,17.0,False,0.17,12.750000000000002
32,17.0,,0.17,5.44
37,17.0,,0.17,6.29
76,17.0,,0.17,12.920000000000002
30,17.0,,0.17,5.1000000000000005
38,17.0,,0.17,6.460000000000001
84,17.0,,0.17,14.28
56,17.0,False,0.17,9.52
49,17.0,,0.17,8.33
36,17.0,,0.17,6.12
35,17.0,,0.17,5.95
