JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
28,100.0,False,1.0,28.0
23,100.0,,1.0,23.0
57,100.0,,1.0,57.0
9,100.0,,1.0,9.0
100,100.0,,1.0,100.0
10,100.0,,1.0,10.0
4,100.0,,1.0,4.0
4,35.0,False,0.35,1.4
9,35.0,,0.35,3.15
10,35.0,,0.35,3.5
8,35.0,,0.35,2.8
8,35.0,,0.35,2.8
8,35.0,,0.35,2.8
5,35.0,,0.35,1.75
4,34.0,False,0.34,1.36
8,34.0,,0.34,2.72
9,34.0,,0.34,3.06
9,34.0,,0.34,3.06
8,34.0,,0.34,2.72
7,34.0,,0.34,2.3800000000000003
6,34.0,,0.34,2.04
5,39.0,False,0.39,1.95
6,39.0,,0.39,2.34
10,39.0,,0.39,3.9
10,39.0,,0.39,3.9
11,39.0,,0.39,4.29
12,39.0,,0.39,4.68
6,39.0,,0.39,2.34
5,37.0,False,0.37,1.85
7,37.0,,0.37,2.59
11,37.0,,0.37,4.07
9,37.0,,0.37,3.33
9,37.0,,0.37,3.33
77,37.0,,0.37,28.49
45,37.0,,0.37,16.65
20,29.0,False,0.29,5.8
30,29.0,,0.29,8.7
49,29.0,,0.29,14.21
73,29.0,,0.29,21.17
57,29.0,,0.29,16.529999999999998
61,29.0,,0.29,17.689999999999998
37,29.0,,0.29,10.73
30,40.0,False,0.4,12.0
75,40.0,,0.4,30.0
78,40.0,,0.4,31.200000000000003
67,40.0,,0.4,26.8
100,40.0,,0.4,40.0
76,40.0,,0.4,30.4
44,40.0,,0.4,17.6
36,34.0,False,0.34,12.24
63,34.0,,0.34,21.42
80,34.0,,0.34,27.200000000000003
65,34.0,,0.34,22.1
65,34.0,,0.34,22.1
64,34.0,,0.34,21.76
34,34.0,,0.34,11.56
30,38.0,False,0.38,11.4
77,38.0,,0.38,29.26
75,38.0,,0.38,28.5
76,38.0,,0.38,28.88
68,38.0,,0.38,25.84
61,38.0,,0.38,23.18
39,38.0,,0.38,14.82
40,37.0,False,0.37,14.8
34,37.0,,0.37,12.58
39,37.0,,0.37,14.43
34,37.0,,0.37,12.58
32,37.0,,0.37,11.84
30,37.0,,0.37,11.1
21,37.0,,0.37,7.77
9,35.0,False,0.35,3.15
27,35.0,,0.35,9.45
28,35.0,,0.35,9.8
33,35.0,,0.35,11.55
33,35.0,,0.35,11.55
31,35.0,,0.35,10.85
16,35.0,,0.35,5.6
14,54.0,False,0.54,7.56
30,54.0,,0.54,16.200000000000003
100,54.0,,0.54,54.0
59,54.0,,0.54,31.860000000000003
37,54.0,,0.54,19.98
30,54.0,,0.54,16.200000000000003
22,54.0,,0.54,11.88
19,36.0,False,0.36,6.84
35,36.0,,0.36,12.6
32,36.0,,0.36,11.52
33,36.0,,0.36,11.88
36,36.0,,0.36,12.96
26,36.0,,0.36,9.36
18,36.0,,0.36,6.4799999999999995
14,32.0,False,0.32,4.48
26,32.0,,0.32,8.32
36,32.0,,0.32,11.52
27,32.0,,0.32,8.64
84,32.0,,0.32,26.88
72,32.0,,0.32,23.04
37,32.0,,0.32,11.84
31,32.0,False,0.32,9.92
49,32.0,,0.32,15.68
90,32.0,,0.32,28.8
70,32.0,,0.32,22.4
75,32.0,,0.32,24.0
67,32.0,,0.32,21.44
43,32.0,,0.32,13.76
39,35.0,False,0.35,13.65
73,35.0,,0.35,25.549999999999997
84,35.0,,0.35,29.4
83,35.0,,0.35,29.049999999999997
88,35.0,,0.35,30.799999999999997
77,35.0,,0.35,26.95
54,35.0,,0.35,18.9
34,41.0,False,0.41,13.94
95,41.0,,0.41,38.95
80,41.0,,0.41,32.8
79,41.0,,0.41,32.39
