Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
93,90.0,,0.9,83.7
94,90.0,,0.9,84.60000000000001
80,90.0,,0.9,72.0
53,90.0,,0.9,47.7
45,89.0,False,0.89,40.05
92,89.0,,0.89,81.88
98,89.0,,0.89,87.22
98,89.0,,0.89,87.22
76,89.0,,0.89,67.64
63,89.0,,0.89,56.07
40,89.0,,0.89,35.6
34,79.0,False,0.79,26.86
36,79.0,,0.79,28.44
78,79.0,,0.79,61.620000000000005
76,79.0,,0.79,60.040000000000006
75,79.0,,0.79,59.25
67,79.0,,0.79,52.93
41,79.0,,0.79,32.39
38,97.0,False,0.97,36.86
80,97.0,,0.97,77.6
77,97.0,,0.97,74.69
76,97.0,,0.97,73.72
100,97.0,,0.97,97.0
81,97.0,,0.97,78.57
46,97.0,,0.97,44.62
39,88.0,False,0.88,34.32
78,88.0,,0.88,68.64
81,88.0,,0.88,71.28
76,88.0,,0.88,66.88
76,88.0,,0.88,66.88
66,88.0,,0.88,58.08
44,88.0,,0.88,38.72
36,85.0,False,0.85,30.599999999999998
72,85.0,,0.85,61.199999999999996
75,85.0,,0.85,63.75
75,85.0,,0.85,63.75
75,85.0,,0.85,63.75
69,85.0,,0.85,58.65
49,85.0,,0.85,41.65
46,89.0,False,0.89,40.94
86,89.0,,0.89,76.54
90,89.0,,0.89,80.1
85,89.0,,0.89,75.65
86,89.0,,0.89,76.54
79,89.0,,0.89,70.31
50,89.0,,0.89,44.5
41,83.0,False,0.83,34.03
72,83.0,,0.83,59.76
100,83.0,,0.83,83.0
88,83.0,,0.83,73.03999999999999
91,83.0,,0.83,75.53
79,83.0,,0.83,65.57
50,83.0,,0.83,41.5
41,91.0,False,0.91,37.31
82,91.0,,0.91,74.62
100,91.0,,0.91,91.0
98,91.0,,0.91,89.18
91,91.0,,0.91,82.81
76,91.0,,0.91,69.16
50,91.0,,0.91,45.5
41,85.0,False,0.85,34.85
87,85.0,,0.85,73.95
90,85.0,,0.85,76.5
89,85.0,,0.85,75.64999999999999
87,85.0,,0.85,73.95
73,85.0,,0.85,62.05
48,85.0,,0.85,40.8
41,84.0,False,0.84,34.44
81,84.0,,0.84,68.03999999999999
95,84.0,,0.84,79.8
100,84.0,,0.84,84.0
90,84.0,,0.84,75.6
79,84.0,,0.84,66.36
52,84.0,,0.84,43.68
41,79.0,False,0.79,32.39
89,79.0,,0.79,70.31
86,79.0,,0.79,67.94
80,79.0,,0.79,63.2
85,79.0,,0.79,67.15
67,79.0,,0.79,52.93
51,79.0,,0.79,40.29
45,84.0,False,0.84,37.8
88,84.0,,0.84,73.92
95,84.0,,0.84,79.8
92,84.0,,0.84,77.28
92,84.0,,0.84,77.28
80,84.0,,0.84,67.2
53,84.0,,0.84,44.519999999999996
44,61.0,False,0.61,26.84
80,61.0,,0.61,48.8
80,61.0,,0.61,48.8
60,61.0,,0.61,36.6
37,61.0,,0.61,22.57
43,61.0,,0.61,26.23
49,61.0,,0.61,29.89
46,85.0,False,0.85,39.1
84,85.0,,0.85,71.39999999999999
95,85.0,,0.85,80.75
91,85.0,,0.85,77.35
100,85.0,,0.85,85.0
87,85.0,,0.85,73.95
53,85.0,,0.85,45.05
45,85.0,False,0.85,38.25
91,85.0,,0.85,77.35
91,85.0,,0.85,77.35
99,85.0,,0.85,84.14999999999999
89,85.0,,0.85,75.64999999999999
79,85.0,,0.85,67.14999999999999
55,85.0,,0.85,46.75
46,81.0,False,0.81,37.260000000000005
85,81.0,,0.81,68.85000000000001
