Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
85,23.0,,0.23,19.55
87,24.0,False,0.24,20.88
79,24.0,,0.24,18.96
89,24.0,,0.24,21.36
81,24.0,,0.24,19.439999999999998
74,24.0,,0.24,17.759999999999998
75,24.0,,0.24,18.0
77,24.0,,0.24,18.48
84,24.0,False,0.24,20.16
100,24.0,,0.24,24.0
81,24.0,,0.24,19.439999999999998
66,24.0,,0.24,15.84
64,24.0,,0.24,15.36
64,24.0,,0.24,15.36
71,24.0,,0.24,17.04
61,22.0,False,0.22,13.42
69,22.0,,0.22,15.18
68,22.0,,0.22,14.96
73,22.0,,0.22,16.06
74,22.0,,0.22,16.28
74,22.0,,0.22,16.28
70,22.0,,0.22,15.4
70,25.0,False,0.25,17.5
75,25.0,,0.25,18.75
69,25.0,,0.25,17.25
62,25.0,,0.25,15.5
67,25.0,,0.25,16.75
73,25.0,,0.25,18.25
70,25.0,,0.25,17.5
73,23.0,False,0.23,16.79
70,23.0,,0.23,16.1
70,23.0,,0.23,16.1
74,23.0,,0.23,17.02
74,23.0,,0.23,17.02
69,23.0,,0.23,15.870000000000001
72,23.0,,0.23,16.560000000000002
76,26.0,False,0.26,19.76
82,26.0,,0.26,21.32
81,26.0,,0.26,21.060000000000002
79,26.0,,0.26,20.54
86,26.0,,0.26,22.36
89,26.0,,0.26,23.14
90,26.0,,0.26,23.400000000000002
93,27.0,False,0.27,25.110000000000003
88,27.0,,0.27,23.76
97,27.0,,0.27,26.19
100,27.0,,0.27,27.0
87,27.0,,0.27,23.490000000000002
82,27.0,,0.27,22.14
71,27.0,,0.27,19.17
82,26.0,False,0.26,21.32
84,26.0,,0.26,21.84
82,26.0,,0.26,21.32
91,26.0,,0.26,23.66
83,26.0,,0.26,21.580000000000002
80,26.0,,0.26,20.8
75,26.0,,0.26,19.5
77,30.0,False,0.3,23.099999999999998
83,30.0,,0.3,24.9
79,30.0,,0.3,23.7
84,30.0,,0.3,25.2
88,30.0,,0.3,26.4
88,30.0,,0.3,26.4
74,30.0,,0.3,22.2
87,26.0,False,0.26,22.62
79,26.0,,0.26,20.54
15,26.0,,0.26,3.9000000000000004
14,26.0,,0.26,3.64
17,26.0,,0.26,4.42
19,26.0,,0.26,4.94
19,26.0,,0.26,4.94
18,34.0,False,0.34,6.12
